1,Sunday,JY,UL,queue
1,Monday,FD,BU,
1,Tuesday,OL,BT,
1,Wednesday,GJ,HY,
1,Thursday,VW,BD,
1,Friday,EG,AK,beyond
1,Saturday,KE,SK,
2,Sunday,KU,MP,queue
2,Monday,ET,EG,
2,Tuesday,BT,NX,
2,Wednesday,GI,KC,
2,Thursday,QS,UR,
2,Friday,BU,IJ,beyond
2,Saturday,TA,LF,
3,Sunday,JW,YQ,queue
3,Monday,LX,OL,
3,Tuesday,MI,PV,
3,Wednesday,NX,KO,
3,Thursday,SK,IE,
3,Friday,AK,FD,beyond
3,Saturday,GJ,BT,
4,Sunday,CR,KE,queue
4,Monday,GI,SZ,
4,Tuesday,ET,PT,
4,Wednesday,JV,GJ,
4,Thursday,VQ,JW,
4,Friday,JE,BU,beyond
4,Saturday,RO,JY,
5,Sunday,NR,VQ,queue
5,Monday,FD,TA,
5,Tuesday,KJ,VW,
5,Wednesday,BD,EG,
5,Thursday,RK,LX,
5,Friday,PV,RO,beyond
5,Saturday,QN,IH,
6,Sunday,BU,NR,queue
6,Monday,ET,BD,
6,Tuesday,IE,KC,
6,Wednesday,JW,QS,
6,Thursday,OL,YQ,
6,Friday,SZ,JV,beyond
6,Saturday,KL,GI,
7,Sunday,QN,RK,queue
7,Monday,GI,JY,
7,Tuesday,UL,MP,
7,Wednesday,VW,KJ,
7,Thursday,JE,BT,
7,Friday,KC,KL,beyond
7,Saturday,PV,SK,
8,Sunday,JY,BU,queue
8,Monday,IJ,SH,
8,Tuesday,VQ,QS,
8,Wednesday,BT,TP,
8,Thursday,MV,IH,
8,Friday,MI,VW,beyond
8,Saturday,LU,KO,
9,Sunday,TP,LX,queue
9,Monday,SZ,PT,
9,Tuesday,KJ,MI,
9,Wednesday,LF,BD,
9,Thursday,KL,LU,
9,Friday,IH,TA,beyond
9,Saturday,RO,JW,
10,Sunday,JV,ET,queue
10,Monday,QS,KC,
10,Tuesday,MP,CR,
10,Wednesday,UL,JY,
10,Thursday,MI,KL,
10,Friday,UR,TP,beyond
10,Saturday,KU,FD,
11,Sunday,IH,LU,queue
11,Monday,KC,QS,
11,Tuesday,BD,MV,
11,Wednesday,OL,IE,
11,Thursday,IJ,KU,
11,Friday,NR,JE,beyond
11,Saturday,LF,KE,
12,Sunday,MP,GI,queue
12,Monday,RW,ET,
12,Tuesday,JV,UL,
12,Wednesday,SZ,OL,
12,Thursday,KO,SH,
12,Friday,LX,MI,beyond
12,Saturday,MV,NX,
13,Sunday,RK,KU,queue
13,Monday,BU,EG,
13,Tuesday,AK,QN,
13,Wednesday,BD,SZ,
13,Thursday,PT,KJ,
13,Friday,KE,IH,beyond
13,Saturday,JW,YQ,
14,Sunday,NX,JE,queue
14,Monday,KU,UR,
14,Tuesday,LX,UL,
14,Wednesday,MV,RW,
14,Thursday,FD,KE,
14,Friday,YQ,RO,beyond
14,Saturday,KO,AK,
15,Sunday,PT,KO,queue
15,Monday,SH,LF,
15,Tuesday,VW,SZ,
15,Wednesday,CR,JW,
15,Thursday,IH,LX,
15,Friday,QS,KU,beyond
15,Saturday,TA,ET,
16,Sunday,YQ,VQ,queue
16,Monday,NR,IJ,
16,Tuesday,LF,RW,
16,Wednesday,JE,UR,
16,Thursday,TP,RK,
16,Friday,AK,HY,beyond
16,Saturday,RO,FD,
17,Sunday,HY,SK,queue
17,Monday,KC,PV,
17,Tuesday,EG,AK,
17,Wednesday,QN,GJ,
17,Thursday,VQ,TA,
17,Friday,IE,VW,beyond
17,Saturday,KO,MV,
18,Sunday,MP,LU,queue
18,Monday,SK,CR,
18,Tuesday,UR,KL,
18,Wednesday,IJ,QN,
18,Thursday,RW,NR,
18,Friday,UL,OL,beyond
18,Saturday,YQ,MI,
19,Sunday,TP,PT,queue
19,Monday,CR,IE,
19,Tuesday,SH,MP,
19,Wednesday,LU,JV,
19,Thursday,JY,JE,
19,Friday,KE,IJ,beyond
19,Saturday,HY,GI,
20,Sunday,BT,KJ,queue
20,Monday,IE,RO,
20,Tuesday,PT,NR,
20,Wednesday,EG,TP,
20,Thursday,SK,CR,
20,Friday,GJ,RK,beyond
20,Saturday,NX,QN,
21,Sunday,RW,VQ,queue
21,Monday,PV,NX,
21,Tuesday,KJ,HY,
21,Wednesday,LU,SH,
21,Thursday,RK,GJ,
21,Friday,TA,MV,beyond
21,Saturday,KL,LF,
22,Sunday,UR,PV,
22,Monday,SH,JV,
22,Tuesday,HY,RW,
